RackBase,Row,Front,Rear,Floor,TileNumber,Building,Hall,MACLeft,SerialNumberLeft,MakerLeft,ModelLeft,ControlUnitIPLeft,Count,MACRight,SerialNumberRight,MakerRight,ModelRight,ControlUnitIPRight
H1CD6,CD,C,D,2,6,Mill Race,1,00:0D:38:CF:DC:F6,AA70-4B25-CC3E-411C,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.1,1,00:0D:40:CF:44:06,819C-F54D-D7A1-4E69,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.109
H1CD7,CD,C,D,2,7,Mill Race,1,00:0D:3C:6F:B1:25,8725-E17B-3388-4764,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.2,2,00:0D:A4:7F:30:97,E415-A1D8-FBA0-41AB,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.110
H1CD8,CD,C,D,2,8,Mill Race,1,00:0D:10:10:AD:C7,279B-988D-133B-4A77,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.3,3,00:0D:11:28:A5:DE,250D-AFB4-1CE9-497A,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.111
H1CD9,CD,C,D,2,9,Mill Race,1,00:0D:F6:C0:12:78,BB90-6D64-29AD-49CE,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.4,4,00:0D:05:C2:12:EF,3259-3B5F-7AAC-45A7,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.112
H1CD10,CD,C,D,2,10,Mill Race,1,00:0D:52:62:85:1F,E752-9C13-98C2-4872,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.5,5,00:0D:69:72:F7:2F,2C82-F5A4-63ED-4E08,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.113
H1CD11,CD,C,D,2,11,Mill Race,1,00:0D:D5:12:5A:B0,BC8C-1431-E16C-4750,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.6,6,00:0D:47:8A:6A:30,E31B-AF1A-AB72-4263,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.114
H1CD12,CD,C,D,2,12,Mill Race,1,00:0D:99:A9:2D:D6,F911-4041-B506-45AD,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.7,7,00:0D:AB:2B:DF:71,9DDA-90BC-82F3-4955,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.115
H1CD13,CD,C,D,2,13,Mill Race,1,00:0D:8D:4A:92:68,F540-7FAD-95DB-4D15,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.8,8,00:0D:2F:5B:AB:19,CF5B-01B0-4C33-44E4,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.116
H1CD14,CD,C,D,2,14,Mill Race,1,00:0D:61:F2:7F:29,C3CF-26E8-FEF1-40F0,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.9,9,00:0D:0C:FB:90:CA,C34F-6F7F-0858-452F,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.117
H1CD20,CD,C,D,2,20,Mill Race,1,00:0D:CF:92:E3:C8,8E1D-0941-41FA-4722,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.10,10,00:0D:E0:A4:05:6A,917E-E78B-F10D-4A8F,Raritan,PX3-5872XV-E2M5P1V2,192.168.0.118
