RightPowerPocket,RackSerial,Row,RackBase,Maker,idMaster,key
819C-F54D-D7A1-4E69,7F48-6CCC-2253-47A5,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V2,RaritanPX3-5872XV-E2M5P1V2,E89CCFA6C44243BE
E415-A1D8-FBA0-41AB,3B6F-AB5E-48AB-4ECD,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V3,RaritanPX3-5872XV-E2M5P1V2,AB12855443E645F5
250D-AFB4-1CE9-497A,2958-A5CC-00BE-489D,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V4,RaritanPX3-5872XV-E2M5P1V2,EEA0D7998ED846C9
3259-3B5F-7AAC-45A7,7048-583F-575F-4E86,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V5,RaritanPX3-5872XV-E2M5P1V2,D33682BD9C074109
2C82-F5A4-63ED-4E08,FCAD-562F-4192-430D,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V6,RaritanPX3-5872XV-E2M5P1V2,84C0EEDD9CEA47A1
E31B-AF1A-AB72-4263,83A4-F0BD-46FC-4753,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V7,RaritanPX3-5872XV-E2M5P1V2,4F31FE07203A46DF
9DDA-90BC-82F3-4955,D410-6CBC-49BC-462B,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V8,RaritanPX3-5872XV-E2M5P1V2,2857D80070C74A8E
CF5B-01B0-4C33-44E4,E3A2-B9D7-254F-4F54,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V9,RaritanPX3-5872XV-E2M5P1V2,3B0FD7EC6DD2483A
C34F-6F7F-0858-452F,F718-DE53-8EAE-4035,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V10,RaritanPX3-5872XV-E2M5P1V2,601C827040B8451D
917E-E78B-F10D-4A8F,0B5D-0247-22E5-49E4,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V11,RaritanPX3-5872XV-E2M5P1V2,AF842C6D6EED47A4
2F8D-E58A-3E8D-4E01,3332-41FA-23B6-40CB,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V12,RaritanPX3-5872XV-E2M5P1V2,5DE984BE1F324000
565A-9C4C-F710-4CA2,5339-F1D9-4045-4C23,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V13,RaritanPX3-5872XV-E2M5P1V2,156C7250C8D244BB
5B75-2DFF-0E59-4F4B,391F-6108-541D-4DB4,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V14,RaritanPX3-5872XV-E2M5P1V2,2E0505D50F3D4B5B
8CBE-EBCC-7555-4B29,42E6-F95D-1A2A-4997,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V15,RaritanPX3-5872XV-E2M5P1V2,C35ED691F552448A
FBB7-38A4-AC42-4B4B,A7C0-D09C-4797-4E9E,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V16,RaritanPX3-5872XV-E2M5P1V2,1A54B7B36E0641AC
2467-8807-4AD0-44BF,50D2-8201-1C49-4E3E,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V17,RaritanPX3-5872XV-E2M5P1V2,1497520FE8DA4E2B
6298-A134-79DC-4D7D,E91F-6498-E23B-4F5C,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V18,RaritanPX3-5872XV-E2M5P1V2,173A48B36EDB422A
374B-2CCD-1FF4-4C70,74D1-D62C-7297-4054,Mill Race-Fl2-H1CD6,Raritan,RaritanPX3-5872XV-E2M5P1V19,RaritanPX3-5872XV-E2M5P1V2,7ECA0AC729C84B5F
C8F1-EEDE-5321-425F,335E-77DD-D2AE-4CA2,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V20,RaritanPX3-5872XV-E2M5P1V2,A1EFD981BA674AF3
7588-3050-A4AB-4A9E,1215-1DD1-0460-4CAE,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V21,RaritanPX3-5872XV-E2M5P1V2,B1E1D37AF9594D5E
670D-6EA7-5112-4066,6E1A-B8F8-5417-4D59,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V22,RaritanPX3-5872XV-E2M5P1V2,D67CAB171B974B84
F121-7825-AFCF-42D4,17EB-C49D-D56A-4679,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V23,RaritanPX3-5872XV-E2M5P1V2,774A8A880EF44533
31C8-D24E-E1D4-4883,33DE-45EC-5540-46D6,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V24,RaritanPX3-5872XV-E2M5P1V2,A1CD7DEDC53C494E
E999-1149-C772-4D12,06F7-6579-F96C-413E,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V25,RaritanPX3-5872XV-E2M5P1V2,80408EC0AC4648F4
4A73-84D2-4794-4A70,FF5F-5E68-4142-4AEA,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V26,RaritanPX3-5872XV-E2M5P1V2,743BD3BDEBFA4E1C
D787-CB8D-EDFD-48FC,2DAA-548D-3942-4E40,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V27,RaritanPX3-5872XV-E2M5P1V2,326F642971BD4844
1EEB-DF65-18A8-4C60,54CB-3882-8F00-440D,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V28,RaritanPX3-5872XV-E2M5P1V2,8B07B2C8C73F4B1C
A2D3-2801-BC86-4872,FFAA-00DF-F093-4EFA,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V29,RaritanPX3-5872XV-E2M5P1V2,AF9E3C57AEB24BCF
26BB-9AEE-3C4C-411F,27F8-064B-3215-4D15,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V30,RaritanPX3-5872XV-E2M5P1V2,60A93061E5214FE5
133E-9191-AAD2-4B6A,9F40-3885-07FA-40C4,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V31,RaritanPX3-5872XV-E2M5P1V2,C638644F39F84DC2
262E-27D5-E035-4DA4,692F-C34C-FA0B-45B0,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V32,RaritanPX3-5872XV-E2M5P1V2,CC1DD70A7A804F51
9FF2-AF2E-70F7-4555,6C37-02DF-4417-4518,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V33,RaritanPX3-5872XV-E2M5P1V2,168278FFC62B4D88
7D5A-27AD-F5D9-4268,379C-D405-1785-4FB2,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V34,RaritanPX3-5872XV-E2M5P1V2,A7FC99B406BD40EC
9CCA-1E18-A15E-49E5,18F1-431D-81C5-40C2,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V35,RaritanPX3-5872XV-E2M5P1V2,E8D40D81809F40AA
47E3-74A8-ECF5-4226,6C56-677F-2442-4139,Mill Race-Fl2-H1GH6,Raritan,RaritanPX3-5872XV-E2M5P1V36,RaritanPX3-5872XV-E2M5P1V2,DF37911C13744324
